exp_id,stage,event_type,job_id,timestamp_sec,reason,size_or_out_bytes,extra_info
formal_ls24_dp_clean_rep01,PRELOAD,FLUSH,2,0.4354,"Write Buffer Full",59991961,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_ls24_dp_clean_rep01/000009.sst"
formal_ls24_dp_clean_rep01,PRELOAD,FLUSH,3,0.6977,"Write Buffer Full",59994987,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_ls24_dp_clean_rep01/000011.sst"
formal_ls24_dp_clean_rep01,PRELOAD,FLUSH,4,1.0194,"Write Buffer Full",59994080,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_ls24_dp_clean_rep01/000013.sst"
formal_ls24_dp_clean_rep01,PRELOAD,FLUSH,5,1.2921,"Write Buffer Full",59993021,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_ls24_dp_clean_rep01/000015.sst"
formal_ls24_dp_clean_rep01,PRELOAD,FLUSH,7,1.6525,"Write Buffer Full",59994990,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_ls24_dp_clean_rep01/000018.sst"
formal_ls24_dp_clean_rep01,PRELOAD,FLUSH,8,1.9985,"Write Buffer Full",59994081,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_ls24_dp_clean_rep01/000021.sst"
formal_ls24_dp_clean_rep01,PRELOAD,FLUSH,9,2.2491,"Write Buffer Full",59993017,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_ls24_dp_clean_rep01/000024.sst"
formal_ls24_dp_clean_rep01,PRELOAD,FLUSH,10,2.5626,"Write Buffer Full",59994989,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_ls24_dp_clean_rep01/000026.sst"
formal_ls24_dp_clean_rep01,PRELOAD,FLUSH,12,2.8497,"Write Buffer Full",59991802,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_ls24_dp_clean_rep01/000030.sst"
formal_ls24_dp_clean_rep01,PRELOAD,FLUSH,13,3.1340,"Write Buffer Full",59991048,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_ls24_dp_clean_rep01/000032.sst"
formal_ls24_dp_clean_rep01,PRELOAD,FLUSH,14,3.4798,"Write Buffer Full",59994991,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_ls24_dp_clean_rep01/000034.sst"
